date,clock,stadium,class,attendance,Home Team,Goals Home,Away Team,Away Goals,home_possessions,away_possessions,home_shots,away_shots,home_on,away_on,home_off,away_off,home_blocked,away_blocked,home_pass,away_pass,home_chances,away_chances,home_corners,away_corners,home_offside,away_offside,home_tackles,away_tackles,home_duels,away_duels,home_saves,away_saves,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,links,match_name,home_name,away_name
2/1/2021,8:00 PM,The Hawthorns,a,0,24,0,2,4,38.1,61.9,7,21,3,12,3,7,1,2,74.3,82.7,2,4,3,5,3,2,53.8,78.6,64.3,35.7,8,3,7,4,1,2,0,0,https://www.skysports.com/football/west-bromwich-albion-vs-arsenal/stats/429006,west-bromwich-albion-vs-arsenal,west-bromwich-albion,arsenal
2/1/2021,5:30 PM,Amex Stadium,d,0,6,3,13,3,54.5,45.5,13,11,4,4,3,4,6,3,86.5,82.9,1,1,5,8,1,0,42.9,61.5,67.9,32.1,2,1,13,8,2,1,0,0,https://www.skysports.com/football/brighton-and-hove-albion-vs-wolverhampton-wanderers/stats/428997,brighton-and-hove-albion-vs-wolverhampton-wanderers,brighton-and-hove-albion,wolverhampton-wanderers
2/1/2021,3:00 PM,Selhurst Park,h,0,11,2,25,0,44.4,55.6,9,7,4,2,2,1,3,4,72,80.6,0,0,3,6,0,3,58.3,59.1,47.9,52.1,2,2,8,18,1,3,0,0,https://www.skysports.com/football/crystal-palace-vs-sheffield-united/stats/429000,crystal-palace-vs-sheffield-united,crystal-palace,sheffield-united
2/1/2021,12:30 PM,8 Stadium,h,0,8,3,19,0,36.7,63.3,20,18,7,5,9,9,4,4,75.2,84.8,3,1,3,5,0,1,62.5,60,63.6,36.4,5,4,15,13,2,1,1,0,https://www.skysports.com/football/tottenham-hotspur-vs-leeds-united/stats/429005,tottenham-hotspur-vs-leeds-united,tottenham-hotspur,leeds-united
1/1/2021,8:00 PM,Old Trafford,h,0,3,2,7,1,48.4,51.6,19,15,9,5,5,6,5,4,82.8,79.6,2,2,5,10,1,1,54.5,72.2,59.5,40.5,4,7,22,10,4,0,0,0,https://www.skysports.com/football/manchester-united-vs-aston-villa/stats/429002,manchester-united-vs-aston-villa,manchester-united,aston-villa
1/1/2021,5:30 PM,Goodison Park,a,0,17,0,14,1,60,40,10,11,2,5,5,5,3,1,83.5,76,0,2,5,4,2,0,66.7,62.5,48.8,51.2,4,2,9,7,2,0,0,0,https://www.skysports.com/football/everton-vs-west-ham-united/stats/429001,everton-vs-west-ham-united,everton,west-ham-united
17/02/2021,8:15 PM,Goodison Park,a,0,17,1,1,3,29.6,70.4,3,16,2,7,1,4,0,5,73.2,90.2,0,1,0,10,0,0,61.1,54.5,53.3,46.7,4,1,8,8,2,1,0,0,https://www.skysports.com/football/everton-vs-manchester-city/stats/428991,everton-vs-manchester-city,everton,manchester-city
13/01/2021,8:15 PM,8 Stadium,d,0,8,1,10,1,52.4,47.6,15,15,6,4,6,5,3,6,81.8,80.5,7,1,6,5,2,2,50,53.8,44.2,55.8,3,5,13,15,1,2,0,0,https://www.skysports.com/football/tottenham-hotspur-vs-fulham/stats/428995,tottenham-hotspur-vs-fulham,tottenham-hotspur,fulham
30/12/2020,8:00 PM,"St James' Park, Newcastle",d,0,4,0,5,0,26.9,73.1,8,11,2,4,4,4,2,3,66,86.4,1,3,5,12,2,4,63.2,60,42.6,57.4,4,2,9,13,2,3,0,0,https://www.skysports.com/football/newcastle-united-vs-liverpool/stats/428993,newcastle-united-vs-liverpool,newcastle-united,liverpool
29/12/2020,8:00 PM,Old Trafford,h,0,3,1,13,0,58.2,41.8,11,9,3,5,5,2,3,2,87.4,81.3,2,0,2,2,4,2,26.7,43.8,59.1,40.9,5,2,11,7,1,1,0,0,https://www.skysports.com/football/manchester-united-vs-wolverhampton-wanderers/stats/428992,manchester-united-vs-wolverhampton-wanderers,manchester-united,wolverhampton-wanderers
29/12/2020,6:00 PM,The Hawthorns,a,0,24,0,19,5,24.4,75.6,4,14,1,6,2,3,1,5,65.1,89.1,0,2,3,10,1,1,60,38.5,40.9,59.1,2,1,7,10,0,1,0,0,https://www.skysports.com/football/west-bromwich-albion-vs-leeds-united/stats/428996,west-bromwich-albion-vs-leeds-united,west-bromwich-albion,leeds-united
29/12/2020,6:00 PM,St. Mary's Stadium,d,0,20,0,14,0,62.6,37.4,8,8,3,3,4,3,1,2,83.9,70.9,1,0,4,3,2,3,26.7,46.7,25,75,3,4,16,15,3,1,0,0,https://www.skysports.com/football/southampton-vs-west-ham-united/stats/428994,southampton-vs-west-ham-united,southampton,west-ham-united
29/12/2020,6:00 PM,Turf Moor,h,0,23,1,25,0,37.1,62.9,5,7,3,3,2,2,0,2,69.6,81.1,2,1,3,5,2,2,66.7,69.2,58.5,41.5,2,2,13,17,1,2,0,0,https://www.skysports.com/football/burnley-vs-sheffield-united/stats/428988,burnley-vs-sheffield-united,burnley,sheffield-united
29/12/2020,6:00 PM,Amex Stadium,a,0,6,0,2,1,49.7,50.3,13,11,2,3,5,6,6,2,82.1,85.7,0,1,5,4,0,0,58.8,50,66.7,33.3,2,2,11,4,2,0,0,0,https://www.skysports.com/football/brighton-and-hove-albion-vs-arsenal/stats/428987,brighton-and-hove-albion-vs-arsenal,brighton-and-hove-albion,arsenal
28/12/2020,5:30 PM,Stamford Bridge,d,0,12,1,7,1,63.4,36.6,16,10,5,2,7,5,4,3,82.5,72,0,1,11,4,1,1,52.9,42.1,44.1,55.9,1,4,16,3,3,1,0,0,https://www.skysports.com/football/chelsea-vs-aston-villa/stats/428989,chelsea-vs-aston-villa,chelsea,aston-villa
28/12/2020,3:00 PM,Selhurst Park,d,0,11,1,18,1,33.1,66.9,4,17,1,3,3,10,0,4,61.8,81.4,0,1,2,5,3,2,61.1,72.7,52.3,47.7,2,0,10,7,0,1,0,0,https://www.skysports.com/football/crystal-palace-vs-leicester-city/stats/428990,crystal-palace-vs-leicester-city,crystal-palace,leicester-city
27/12/2020,7:15 PM,Molineux,d,0,13,1,8,1,54.8,45.2,11,6,6,3,2,2,3,1,85.6,78.8,1,0,9,2,2,0,61.9,50,52.5,47.5,2,5,20,13,4,1,0,0,https://www.skysports.com/football/wolverhampton-wanderers-vs-tottenham-hotspur/stats/428986,wolverhampton-wanderers-vs-tottenham-hotspur,wolverhampton-wanderers,tottenham-hotspur
27/12/2020,4:30 PM,Anfield,d,0,5,2,24,2,78.4,21.6,17,5,2,3,11,1,4,1,88.3,56.8,2,2,8,3,1,5,72.7,66.7,66.7,33.3,2,1,8,5,0,1,0,0,https://www.skysports.com/football/liverpool-vs-west-bromwich-albion/stats/428982,liverpool-vs-west-bromwich-albion,liverpool,west-bromwich-albion
27/12/2020,2:15 PM,London Stadium,d,0,14,2,6,2,43.6,56.4,11,13,4,4,2,4,5,5,76.6,81.4,1,0,5,4,2,1,57.1,63.6,59,41,2,2,6,8,0,0,0,0,https://www.skysports.com/football/west-ham-united-vs-brighton-and-hove-albion/stats/428985,west-ham-united-vs-brighton-and-hove-albion,west-ham-united,brighton-and-hove-albion
27/12/2020,12:00 PM,Elland Road,h,0,19,1,23,0,52.3,47.7,11,14,4,6,5,4,2,4,74.3,71.7,2,2,4,12,3,3,52.9,41.7,50,50,6,3,8,13,0,3,0,0,https://www.skysports.com/football/leeds-united-vs-burnley/stats/428980,leeds-united-vs-burnley,leeds-united,burnley
26/12/2020,8:00 PM,Bramall Lane,a,0,25,0,17,1,43.8,56.2,10,7,2,3,5,3,3,1,72.9,79.1,1,1,6,3,0,2,50,76.9,38.8,61.2,2,1,11,10,2,4,0,0,https://www.skysports.com/football/sheffield-united-vs-everton/stats/428984,sheffield-united-vs-everton,sheffield-united,everton
26/12/2020,8:00 PM,Etihad Stadium,h,0,1,2,4,0,75.1,24.9,11,7,6,2,2,3,3,2,90.6,75.7,6,0,7,3,1,3,62.5,36.4,40,60,2,4,5,12,2,2,0,0,https://www.skysports.com/football/manchester-city-vs-newcastle-united/stats/428983,manchester-city-vs-newcastle-united,manchester-city,newcastle-united
26/12/2020,5:30 PM,Emirates Stadium,h,0,2,3,12,1,39,61,15,19,7,3,4,11,4,5,69.8,84.6,1,2,2,9,1,0,43.8,30,30.8,69.2,2,4,13,10,2,1,0,0,https://www.skysports.com/football/arsenal-vs-chelsea/stats/428977,arsenal-vs-chelsea,arsenal,chelsea
26/12/2020,3:00 PM,Craven Cottage,d,0,10,0,20,0,46.7,53.3,10,3,1,2,4,1,5,0,72.2,72.2,1,0,6,3,1,4,58.3,50,57.1,42.9,2,1,15,12,2,0,0,0,https://www.skysports.com/football/fulham-vs-southampton/stats/428979,fulham-vs-southampton,fulham,southampton
26/12/2020,3:00 PM,Villa Park,h,0,7,3,11,0,38.6,61.4,21,13,10,6,6,6,5,1,71.8,81.7,5,0,4,4,1,2,35.3,58.3,60,40,6,7,18,16,1,4,1,0,https://www.skysports.com/football/aston-villa-vs-crystal-palace/stats/428978,aston-villa-vs-crystal-palace,aston-villa,crystal-palace
26/12/2020,12:30 PM,The King Power Stadium,d,0,18,2,3,2,54.4,45.6,10,9,2,4,4,4,4,1,79.9,80,1,5,5,0,1,4,70.6,55,54.5,45.5,2,1,10,17,2,1,0,0,https://www.skysports.com/football/leicester-city-vs-manchester-united/stats/428981,leicester-city-vs-manchester-united,leicester-city,manchester-united
